cnpj_basico,cnpj_ordem,cnpj_dv,matriz_filial,nome_fantasia,codigo_situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,codigo_pais,data_inicio_atividade,cnae_principal,cnae_secundario,tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio_siafi,ddd1,telefone1,ddd2,telefone2,dddfax,fax,email,situacao_especial,data_situacao_especial
60001815,0001,17,1,TARRAF ELMAZ,02,20041231,00,,,19700331,4511101,"4511102,4520001,4520005,4530703,7490104,7711000",AVENIDA,BADY BASSITT,4666,,VILA N.S.APARECIDA,15025000,SP,7097,17,32149700,,,,,CONTABILIDADE@TARRAF.COM.BR,,
60001815,0002,06,2,TARRAF VEICULOS,08,20211201,01,,,19861010,4511101,4511102,RUA,JOSE TESSAROLO,150,GALPAO: 1;,DISTRITO INDUSTRIAL,15035600,SP,7097,17,32148900,,,17,32149725,CONTABILIDADE@GRUPOTARRAF.COM.BR,,
60001815,0003,89,2,TARRAF VEICULOS,08,20211201,01,,,20111219,4511101,"4520001,4520005,4530703,7711000,7490104",AVENIDA,VICENTE JOSE PARISE,645,,CENTRO,15900000,SP,7175,17,32149718,,,,,rodrigo.campos@grupotarraf.com.br,,
60001815,0004,60,2,TARRAF VEICULOS,08,20211201,01,,,20111219,4511101,"4520001,4520005,4530703,7711000,7490104",RUA,MACHADO DE ASSIS,21,,JARDIM ERINA,15910000,SP,6727,17,32149700,17,32149718,,,LUCAS.BASTOS@GRUPOTARRAF.COM.BR,,
60001823,0001,63,1,,08,19960731,01,,,19941123,8888888,,RUA,JOSE EPIFANIO BOTELHO,SN,,VL JOAQUIM PAULINO,18900000,SP,7029,,,,,,,,,
60001831,0001,00,1,BORRACHARIA SANTA CRUZ,08,19780502,01,,,19700407,8888888,,AVENIDA,NOSSA SENHORA DA PAZ,S N,,VILA MILITAR,15055500,SP,7097,,,,,,,,,
60001849,0001,01,1,,08,19981130,01,,,19941124,9609202,,RUA,RUI BARBOSA,417,,CENTRO,18960000,SP,6225,,,,,,,,,
60001856,0001,03,1,LOCALIZA RENT A CAR,08,20081231,71,,,19941128,7711000,,RUA,SILVA JARDIM,514,,CENTRO,19900191,SP,6795,,,,,,,,,
60001872,0001,04,1,,08,20150209,73,,,19941128,6619303,,RUA,SAO PAULO,277,1 ANDAR SALA 08,CENTRO,19900050,SP,6795,,,,,,,,,
60001880,0001,42,1,,08,20030911,01,,,19941205,8299799,"6399200,7410299,7490105,7490199,8219999,8299703,8299707",RUA,ASSOC A BERNARDINENSE,129,,CENTRO,18960000,SP,6225,,,,,,,,,
60001898,0001,44,1,,08,20151216,01,,,19941205,9430800,"9493600,9499500",ESTRADA,SCD 304,SN,,SAO JOAO DO TURVO,18935000,SP,7253,,,,,,,,,
60001922,0001,45,1,RACOES SOCIL,04,20181219,63,,,19720530,1066000,,RUA,SIQUEIRA CAMPOS,1215,,PRQ INDUSTRIAL,15025055,SP,7097,,,,,,,,,
60001948,0001,93,1,BAR E MERCEARIA NACOES,08,20161229,01,,,19941212,4729699,,RUA,CANADA,71,,PQ DAS NACOES,18900000,SP,7029,,,,,,,,,
60001955,0001,95,1,SANDET,02,20051103,00,,,19700525,2061400,"2063100,4684299",RUA,AUGUSTO VULPINI,260,,DISTRITO INDUSTRIAL,15035630,SP,7097,,,,,,,sandet@sandet.com.br,,
60001955,0002,76,2,,08,19950619,01,,,19930615,2099199,,RUA,JOSE GUIDI,105,,DISTRITO INDUSTRIAL,15035500,SP,7097,,,,,,,,,
60001989,0001,80,1,,08,19830422,01,,,19700318,8888888,,RUA,ELIAS GABRIEL,540,,JARDIM SORAIA,15075050,SP,7097,,,,,,,,,
60001997,0001,26,1,,08,20081231,71,,,19700317,4774100,,RUA,ANTONIO DE GODOI,3048,BANCA 28,CENTRO,15042102,SP,7097,,,,,,,,,
60002003,0001,96,1,,02,19990711,00,,,19941221,8112500,,AVENIDA,ALTINO ARANTES,25,,CENTRO,19904565,SP,6795,,,,,,,,,
60002011,0001,32,1,,04,20180906,63,,,19941230,8640299,"8640206,8640207,8640208,8640209,8640213",RUA,ALVARO FERREIRA MORAES,136,,VILA MORAES,19904565,SP,6795,,,,,,,,,
60002029,0001,34,1,,08,20020226,01,,,19950113,8630599,,RUA,JOAQUIM DE AZEVEDO,976,,VL MORAES,19900280,SP,6795,,,,,,,,,
60002045,0001,27,1,,02,20050924,00,,,19950203,8640206,"8640205,8640204,8640207",RUA,GOVERNADOR ARMANDO SALES,233,,VILA MORAES,19900240,SP,6795,14,33226016,,,,,LUCIA@DEMAX.MED.BR,,
60002052,0001,29,1,,02,20050924,00,,,19950206,9420100,,AVENIDA,ALTINO ARANTES,414,,CENTRO,19900031,SP,6795,14,33023300,,,14,33023300,cdl@aceourinhos.com.br,,
60002078,0004,10,2,,04,20210310,63,,,19960320,6203100,6202300,AVENIDA,BRASIL,645,A,CENTRO,18780000,SP,6673,,,,,,,,,
60002078,0001,77,1,,04,20210310,63,,,19950206,6311900,,AVENIDA,DR CYRO DE M CAMARINHA,541,,CENTRO,18900000,SP,7029,,,,,,,,,
60002078,0003,39,2,MCS INFORMATICA S/C LTDA,04,20210310,63,,,19960320,6203100,6202300,AVENIDA,SAO PAULO,944,,CENTRO,17470000,SP,6391,,,,,,,,,
60002078,0002,58,2,,04,20210310,63,,,19960320,6203100,6202300,AVENIDA,AZARIAS LEITE,12,QUADRA 09,CENTRO,17015210,SP,6219,,,,,,,,,
60002078,0005,09,2,,04,20210310,63,,,19960320,6203100,6202300,AVENIDA,RIO BRANCO,361,,CENTRO,17500090,SP,6681,,,,,,,,,
60002086,0001,13,1,TRANSRIO,08,19881214,01,,,19700713,4930201,,RUA,INDEPENDENCIA,4510,,SAO JOAQUIM,15025095,SP,7097,,,,,,,,,
60002094,0001,60,1,MERCEARIA FACCHINI,08,19911227,01,,,19720324,4712100,,RUA,IPIRANGA,2814,,VILA N S APARECIDA,15025520,SP,7097,,,,,,,,,
60002102,0001,78,1,,08,20081231,71,,,19700406,8888888,,FAZENDA,RIO PRETO,SN,,FAZ RIO PRETO,15035290,SP,7097,,,,,,,,,
60002128,0001,16,1,,02,19980728,00,,,19700228,8730199,"8711505,8720499",RUA,VISCONDE DE OURO PRETO,622,,PQ. INDUSTRIAL,15030300,SP,7097,17,32143764,,,,,,,
60002136,0003,24,2,CIRAM,08,19981209,01,,,19750612,8711502,,PRACA,LISBOA,SN,,PRQ ESTORIL,15042102,SP,7097,,,,,,,,,
60002136,0005,96,2,,08,19981209,01,,,19750626,8711502,,PRACA,SAO SEBASTIAO,SN,,ELDORADO,15035340,SP,7097,,,,,,,,,
60002136,0006,77,2,CONSORCIO DE MENORES,08,19981209,01,,,19830308,8711502,,RUA,TREZE DE JUNHO,211,,CENTRO,15190000,SP,6753,,,,,,,,,
60002136,0004,05,2,,08,19981209,01,,,19750626,8711502,,RUA,CAMILO DE FIGUEIREDO,462,,CENTRO,15270000,SP,6663,,,,,,,,,
60002136,0001,62,1,INSTITUTO ALARME,02,20051103,00,,,19700425,8513900,"8520100,8800600,8512100,8511200",AVENIDA,ANISIO HADDAD,6580,,JARDIM ACLIMACAO,15091380,SP,7097,17,32264100,,,17,21396600,FINANCEIRO@INSTITUTOALARME.ORG.BR,,
60002136,0002,43,2,CONSORCIO DE MENORES,08,19981209,01,,,19741203,8711502,,RUA,VITORIO LUVIZARI,979,,CENTRO,15530000,SP,6359,,,,,,,,,
60002144,0001,09,1,EMPORIO REIS,08,20081231,71,,,19770506,5611203,,RUA,SALDANHA MARINHO,2302,,BOA VISTA,15025090,SP,7097,,,,,,,,,
60002177,0001,59,1,BANCA DELGADO,08,20081231,71,,,19700909,4774100,,RUA,OMAR CINTRA DAMIAO,180,,ERCILIA,15013260,SP,7097,,,,,,,,,
60002219,0001,51,1,LENHADORA,04,20201023,63,,,19710212,4774100,,RUA,PENITA,2698,,VILA IMPERIAL,15025150,SP,7097,,,,,,,,,
60002250,0001,92,1,BANCA OHNO,08,20081231,71,,,19760701,4729601,,FAZENDA,SANTA CATARINA,S N,,ZONA RURAL,15055170,SP,7097,,,,,,,,,
60002268,0001,94,1,,02,20051103,00,,,19921229,8630504,,RUA,SETE DE SETEMBRO,85,      SUL,CENTRO,17280000,SP,6835,14,32841141,,,,,MIGUELPERTINHEZ@YAHOO.COM.BR,,
60002276,0001,30,1,,08,20081231,71,,,19930114,8130300,,RUA,MAJOR SOLBIATI,170,,CENTRO,17360000,SP,7195,,,,,,,,,
60002284,0001,87,1,LIANI ASSESSORIA TECNICA DE SEGUROS,08,19930713,01,,,19930105,6622300,,RUA,AMARAL GURGEL,492,,CENTRO,17201010,SP,6607,,,,,,,,,
60002292,0001,23,1,,08,19780502,01,,,19700409,8888888,,RUA,OSWALDO ARANHA,2059,,PARQUE INDUSTRIAL,15042102,SP,7097,,,,,,,,,
60002300,0001,31,1,OFICINA MERCEDEZ BENS,08,19780502,01,,,19700409,8888888,,RUA,INDEPENDENCIA,4458,,AURORA,15025095,SP,7097,,,,,,,,,
60002318,0001,33,1,,04,20181226,63,,,19930129,9312300,,RUA,MANOEL GALVAO DE FRANCA,64,,VILA BRASIL,17202330,SP,6607,,,,,,,,,
60002326,0001,80,1,CLINICA ODONTOLOGICA BARRA BONITA,04,20181226,63,,,19930129,8630504,,RUA,RIO BRANCO,311,SALA 203,CENTRO,17340000,SP,6205,,,,,,,,,
60002334,0001,26,1,,02,20051103,00,,,19700409,9312300,,AVENIDA,DANILO GALEAZZI,S/N,,MACHADO I,15052240,SP,7097,17,32248070,17,32248070,,,,,
60002342,0001,72,1,ACOUGUE SOUZA BARROS,08,19840928,01,,,19710811,8888888,,RUA,CAPITAO JOSE MARIA,1528,,JARDIM URANO,15084150,SP,7097,,,,,,,,,
60002359,0001,20,1,,08,20081231,71,,,19930201,9420100,,AVENIDA,N SRA APARECIDA,S 1422,,VILA PAULISTA,17280000,SP,6835,,,,,,,,,
60002367,0001,76,1,CAMARA MUNICIPAL,02,19980728,00,,,19930202,8411600,,,LOC  PRACA AMADOR SIMOES,135,,CENTRO,17380000,SP,6259,,,,,,,,,
60002383,0001,69,1,ACIRP,02,20050924,00,,,19700427,9411100,"8230001,9001904,9001999,9003500,9430800,9493600,9499500",RUA,SILVA JARDIM',3099,,CENTRO,15010060,SP,7097,17,32149433,,,17,32149430,acirpsjp@terra.com.br,,
60002383,0002,40,2,ACIRP,02,20100217,00,,,20100217,9430800,"9493600,9499500",AVENIDA,MIRASSOLANDIA,1810,,JD. ANA CELIA,15045000,SP,7097,17,32114400,17,32114406,17,32114440,falco@itamaratyonline.com.br,,
60002391,0001,05,1,,08,19931229,01,,,19930309,8593700,,RUA,SANTO ANTONIO,169,,POTUNDUVA,17210170,SP,6607,,,,,,,,,
60002409,0001,79,1,,08,19791120,01,,,19700420,8888888,,RUA,CEL SPINOLA CASTRO,3040,,CENTRO,15042102,SP,7097,,,,,,,,,
60002425,0001,61,1,,04,20181219,63,,,19700414,4722901,,RUA,RUBIAO JUNIOR,1596,,PARQUE INDUSTRIAL,15025080,SP,7097,,,,,,,,,
60002433,0001,08,1,CASA SANTO ANTONIO,08,20030117,01,,,19700413,8800600,,RUA,FRITZ JACOBS,1134,,BOA VISTA,15025500,SP,7097,,,,,,,,,
60002458,0001,01,1,ESPORTE CLUBE DOMINGO ALEGRE,08,20081231,71,,,19930205,9312300,,RUA,TENENTE LOPES,SN,C R GILB GAMBARINI,JARDIM MARIA LUIZA,17201460,SP,6607,,,,,,,,,
60002466,0001,58,1,BANCA DE REVISTAS DYSNEYLANDIA,08,20081231,71,,,19700717,4761001,,RUA,SAO JOAO,1668,,ALTO DA BOA VISTA,15025025,SP,7097,,,,,,,,,
60002474,0001,02,1,CROMADORA NOSSA SENHORA APARECIDA,08,19840730,01,,,19790716,8888888,,RUA,ANTONIO DE GODOY,3453,,CENTRO,15015100,SP,7097,,,,,,,,,
60002482,0001,40,1,,08,19840731,01,,,19701023,8888888,,RUA,LUIZ FIGUEIREDO FILHO,1755,,JARDIM URANO,15042102,SP,7097,,,,,,,,,
60002490,0001,97,1,,08,20210417,02,,,19930212,9491000,,RUA,VERGILIO PALHARIM,173,,CENTRO,17350000,SP,6501,14,36423538,14,97139167,,,458ASSJUR@GMAIL.COM,,
60002508,0001,50,1,,02,20051202,00,,,19930212,9430800,"9493600,9499500",AVENIDA,NETINHO PRADO,424,,JARDIM VILA MARIA,17208270,SP,6607,14,36231120,,,14,36211121,CONTATO@CONTABILGOULART.COM.BR,,
60002532,0001,90,1,MONTAGENS INDUSTRIAIS VERNIER,08,20081231,71,,,19930226,2539001,,AVENIDA,BAURU,91,FUNDOS,JARDIM PAULISTA,17300000,SP,6383,,,,,,,,,
60002540,0001,36,1,BAR PAVAO,02,20051103,00,,,19700423,5611203,,RUA,OSVALDO ARANHA,1208,,PARQUE INDUSTRIAL,15025620,SP,7097,,,,,,,,,
60002557,0001,93,1,,04,20181226,63,,,19930304,9491000,,RUA,AGOSTINHO GRIM,95,,CIDADE,17350000,SP,6501,,,,,,,,,
60002565,0001,30,1,OTICA RIO PRETO,02,20051103,00,,,19721016,4774100,"4783101,4783102,9529199",RUA,SIQUEIRA CAMPOS,3329,APT   51                  SALA  01,CENTRO,15010040,SP,7097,17,33048224,,,,,CONTABIL@OTICASRIOPRETO.COM.BR,,
60002565,0003,00,2,,08,20120416,01,,,19860915,4774100,,RUA,BERNARDINO DE CAMPOS,3875,SALAO 05,CENTRO,15015300,SP,7097,,,,,,,,,
60002565,0002,10,2,OTICA RIO PRETO,02,19881006,00,,,19750904,4774100,,RUA,VOLUNTARIOS SAO PAULO,3161,,CENTRO,15042102,SP,7097,,,,,,,,,
60002565,0004,82,2,,08,19950930,01,,,19911004,3312104,,RUA,9 DE JULHO,1948,1,CENTRO,15130001,SP,6707,,,,,,,,,
60002565,0005,63,2,,08,20070831,01,,,19930929,4774100,,RUA,AMADEU AMARAL,771,,JD AMERICA,14020050,SP,6969,,,,,,,,,
60002565,0008,06,2,,02,20141029,00,,,20141029,4774100,"4783101,4783102",RUA,RUBIAO JUNIOR,3068,,CENTRO,15010090,SP,7097,17,33048224,,,,,CONTABIL@OTICASRIOPRETO.COM.BR,,
60002565,0012,92,2,,02,20141029,00,,,20141029,4774100,"4783101,4783102",AVENIDA,ALFREDO ANTONIO DE OLIVEIRA,2077,: EUC 302 303;,JARDIM MARAJO,15046355,SP,7097,17,33048224,,,,,CONTABIL@OTICASRIOPRETO.COM.BR,,
60002565,0009,97,2,,02,20141029,00,,,20141029,4774100,"4783101,4783102",AVENIDA,JOSE MUNIA,4520,,JARDIM VIVENDAS,15090500,SP,7097,17,33048224,,,,,CONTABIL@OTICASRIOPRETO.COM.BR,,
60002565,0013,73,2,,02,20141029,00,,,20141029,4774100,"4783101,4783102",AVENIDA,PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA,5000,LOJA: 2082 - 1 PISO;,IGUATEMI,15093340,SP,7097,17,33048224,,,,,CONTABIL@OTICASRIOPRETO.COM.BR,,
60002565,0011,01,2,,02,20141029,00,,,20141029,4774100,"4783101,4783102",AVENIDA,JOSE MUNIA,4501,LOJA: 3;,JARDIM REDENTOR,15085350,SP,7097,17,33048224,,,,,CONTABIL@OTICASRIOPRETO.COM.BR,,
60002565,0010,20,2,,02,20141029,00,,,20141029,4774100,"4783101,4783102",AVENIDA,BRIGADEIRO FARIA LIMA 6363,6363,LOJA: SUC 245;,JARDIM MORUMBI,15090900,SP,7097,17,33048224,,,,,CONTABIL@OTICASRIOPRETO.COM.BR,,
60002565,0007,25,2,,02,20091110,00,,,20091110,4774100,"4783101,4783102,9529199",RUA,JORGE TIBIRICA,2943,,CENTRO,15010050,SP,7097,17,32235758,,,,,escritpaulista@terra.com.br,,
60002565,0006,44,2,,02,20070831,00,,,20070831,4774100,"4783101,4783102,9529199",AVENIDA,JOSE MUNIA,4775,      LUC 226                   PLAZA SHOPPING,JDM. REDENTOR,15085350,SP,7097,17,32235758,17,32272980,,,escritpaulista@terra.com.br,,
60002573,0001,86,1,,04,20201023,63,,,19930304,4930202,"4789099,7719599,0161099",RUA,ANTONIO FONSECA,230,,CENTRO,17270000,SP,6245,14,32957152,14,97091447,14,32951337,palaro@escritoriopalaro.com.br,,
60002581,0001,22,1,,08,20081231,71,,,19701020,5611203,,RODOVIA,WASHINGTON LUIZ,S N,EST JOCKEY CLUBE,VILA TONINHO,15042102,SP,7097,,,,,,,,,
60002599,0001,24,1,,08,20081231,71,,,19930309,9430800,"9493600,9499500",RUA,GALDENCIO GUACELLI,50,,CHACARA PECCIOLI,17204220,SP,6607,,,,,,,,,
60002607,0001,32,1,MC REPRESENTACOES COMERCIAIS,08,19960531,01,,,19930315,7490101,,RUA,SINVAL RIBEIRO,26,,VILA INDUSTRIAL,17204200,SP,6607,,,,,,,,,
60002615,0001,89,1,SERVIL,08,20081231,71,,,19930315,8030700,,AVENIDA,TEN PELICIOTI,1572,,CENTRO,17250000,SP,6203,,,,,,,,,
60002623,0001,25,1,,08,20081231,71,,,19930325,9430800,"9493600,9499500",RUA,QUINTINO BOCAIUVA,532,,CENTRO,17201470,SP,6607,,,,,,,,,
60002631,0001,71,1,AESC JAU,02,19980728,00,,,19930325,9412099,,RUA,MARECHAL BITENCOURT,766,,CENTRO,17201430,SP,6607,14,36246602,,,14,36254922,AESC@AESCJAU.ORG.BR,,
60002649,0001,73,1,,08,20160224,01,,,19700512,4721103,,RUA,PAULO SETUBAL,134,,SANTA CRUZ,15014160,SP,7097,,,,,,,,,
60002656,0001,75,1,AAVV,02,19980728,00,,,19930325,9430800,"9493600,9499500",,LOC  PORT L P PRAIAS S VERDE,SN,,BAIXAO DA SERRA,17320000,SP,6697,,,,,,,,,
60002664,0001,11,1,ACOUGUE SAO VALENTIM,08,19871130,01,,,19700430,8888888,,RUA,TENERIFE,146,,VILA ANCHIETA,15050120,SP,7097,,,,,,,,,
60002672,0001,68,1,,08,19960531,01,,,19930326,6920601,,AVENIDA,CLAUDIONOR BARBIERI,556,1 ANDAR,CENTRO,17250000,SP,6203,,,,,,,,,
60002680,0001,04,1,,08,20081231,71,,,19930330,4120400,4299501,RUA,OLIVIO STORT,65,,JARDIM SAO JOSE,17206110,SP,6607,,,,,,,,,
60002698,0001,06,1,,08,19941021,01,,,19930330,7490101,,RUA,RIACHUELO,276,,CENTRO,17201340,SP,6607,,,,,,,,,
60002706,0001,14,1,,08,20081231,71,,,19930330,9420100,,RUA,JOAO BATISTA MODOLO,278,,CENTRO,17260000,SP,6541,,,,,,,,,
60002748,0001,55,1,,08,20081231,71,,,19930402,8130300,,AVENIDA,TIRADENTES,S 550,,CENTRO,17280000,SP,6835,,,,,,,,,
60002755,0001,57,1,,02,20041030,00,,,19930414,8130300,,RUA,MARCOS SEBER FILHO,1210,,CENTRO,17360000,SP,7195,,,,,,,,,
60002763,0001,01,1,,04,20181218,63,,,19930419,9430800,"9493600,9499500",AVENIDA,VER CATARINO DOS SANTOS,SN,,N H LEONOR M DE BAR,17280000,SP,6835,,,,,,,,,
